title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
National Treasure,6.605,5850,2004-11-19,347512318,131,100000000,29.091,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
O Ônibus da Suruba,5.1,4,1989-01-02,200000,68,60000,0.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800 Bullets,5.951,81,2002-10-18,1947000,124,4380750,19.65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Company,6.667,58,2002-04-15,6000000,156,1500000,3.475,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Love Jones,7.436,55,1997-03-14,12782749,108,10000000,6.723,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Highway to Hell,5.946,94,1991-11-21,26055,94,9000000,11.566,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
The Night of the Iguana,7.135,130,1964-08-06,12000000,118,3000000,10.844,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Last Action Hero,6.432,2457,1993-06-18,137300000,131,85000000,24.589,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Faster,6.316,1746,2010-11-23,23081726,98,24000000,23.945,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Amore Libero,10.0,1,2024-03-11,1,0,1000,1.4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Sweet Journey,7.0,1,2011-08-03,10000000,96,1000000,0.6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Dawn of the Dead,7.485,1865,1978-09-02,55000000,127,650000,30.73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ballistic: Ecks vs. Sever,4.352,328,2002-09-20,19924033,91,70000000,11.945,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Critters 2,5.957,370,1988-04-29,3813293,86,4500000,13.693,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Into the Blue,5.885,1377,2005-09-30,46117696,110,50000000,16.996,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Samar,5.1,14,2013-01-13,8300000,144,3700000,1.903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Muslum,7.1,105,2018-10-26,14701918,136,4400000,5.666,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
So I Married an Axe Murderer,6.061,371,1993-07-30,11585483,93,20000000,13.691,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Woman In White,10.0,1,2021-04-27,67,13,94,0.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
The Tie That Binds,4.886,22,1995-09-08,5830454,99,14000000,4.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bridget Jones: The Edge of Reason,6.241,2574,2004-11-10,262500000,108,40000000,15.401,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I'm Still Here,8.0,1,2022-01-25,5000,13,1000,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lost Highway,7.583,2343,1997-01-15,3756869,134,15000000,33.257,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2001: A Space Travesty,4.313,238,2000-10-31,270813,99,26000000,12.096,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nine 1/2 Weeks,6.086,888,1986-02-09,6735922,117,17000000,22.071,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Robinson Crusoe,5.818,296,2016-02-04,40075446,90,13500000,15.993,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Wind in the Willows,5.564,47,1996-10-16,2300000,88,15400000,7.587,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Norman,10.0,1,2023-03-09,12,5,11,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Cursed,5.435,638,2005-02-25,19294901,97,35000000,25.019,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hitler's Children,5.947,19,1943-01-06,3355000,82,205000,3.469,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Korolev,1.0,1,2007-10-29,31000,130,6000000,0.97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Sessions,6.911,499,2012-05-02,9138338,95,1000000,14.581,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Big Hero 6,7.738,14732,2014-10-24,657827828,102,165000000,98.41,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gloss,5.2,13,2007-06-03,4684165,118,2500000,2.463,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eyes of Crystal,5.813,32,2004-11-26,386355,107,2600000,5.247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
